transcript_id,speaker_role,section,sent_id,verb_word_id,dep_word_id,verb_lemma,verb_category,dep_role,deprel,dep_text,dep_lemma,agent_type,cluster,cluster_long
creativity_0003,user,basic_job_description,6,5,4,create,AUTHORSHIP,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0003,user,basic_job_description,6,5,8,create,AUTHORSHIP,OBJECT,obj,piece,piece,,Content writing,2
creativity_0003,user,basic_job_description,6,30,28,go,AUTHORSHIP,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0003,user,walkthrough,1,8,9,help,AI_USE,OBJECT,obj,me,I,,Content writing,2
creativity_0003,user,walkthrough,1,10,14,build,AUTHORSHIP,OBJECT,obj,structure,structure,,Content writing,2
creativity_0003,user,walkthrough,2,5,6,ask,AI_USE,OBJECT,iobj,AI,AI,,Content writing,2
creativity_0003,user,walkthrough,2,8,9,give,IDEATION,OBJECT,iobj,me,I,,Content writing,2
creativity_0003,user,walkthrough,2,8,10,give,IDEATION,OBJECT,obj,ideas,idea,,Content writing,2
creativity_0003,user,project_example,4,1,4,plan,AUTHORSHIP,OBJECT,obj,classes,class,,Content writing,2
creativity_0003,user,project_example,4,17,12,pay,AUTHORSHIP,OBJECT,obj,which,which,,Content writing,2
creativity_0003,user,project_example,4,17,13,pay,AUTHORSHIP,SUBJECT,nsubj:pass,I,I,HUMAN,Content writing,2
creativity_0003,user,project_example,4,23,20,pay,AUTHORSHIP,SUBJECT,nsubj:pass,I,I,HUMAN,Content writing,2
creativity_0003,user,project_example,6,10,13,research,IDEATION,OBJECT,obj,plans,plan,,Content writing,2
creativity_0003,user,project_example,7,18,15,use,AI_USE,OBJECT,obj,that,that,,Content writing,2
creativity_0003,user,project_example,7,18,16,use,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0003,user,project_example,9,4,5,do,AI_USE,OBJECT,obj,that,that,,Content writing,2
creativity_0003,user,project_example,10,7,10,edit,AUTHORSHIP,OBJECT,obj,plans,plan,,Content writing,2
creativity_0003,user,project_example,11,9,11,make,CONTROL,OBJECT,obj,combination,combination,,Content writing,2
creativity_0003,user,project_example,11,17,15,ask,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0003,user,project_example,11,17,18,ask,AI_USE,OBJECT,iobj,it,it,,Content writing,2
creativity_0003,user,project_example,11,20,22,add,AUTHORSHIP,OBJECT,obj,content,content,,Content writing,2
creativity_0003,user,project_example,11,34,35,take,AI_USE,OBJECT,obj,it,it,,Content writing,2
creativity_0003,user,dynamic,1,9,7,drive,CONTROL,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0003,user,dynamic,1,9,12,drive,CONTROL,OBJECT,obj,decisions,decision,,Content writing,2
creativity_0003,user,dynamic,2,11,10,want,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0003,user,dynamic,3,3,2,feel,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0003,user,dynamic,3,9,7,get,IDEATION,SUBJECT,nsubj,model,model,AI,Content writing,2
creativity_0003,user,dynamic,3,13,14,give,IDEATION,OBJECT,iobj,me,I,,Content writing,2
creativity_0003,user,dynamic,3,13,15,give,IDEATION,OBJECT,obj,ideas,idea,,Content writing,2
creativity_0003,user,dynamic,3,36,34,start,IDEATION,SUBJECT,nsubj,we,we,HUMAN,Content writing,2
creativity_0003,user,changed_aspects,1,4,2,feel,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0003,user,changed_aspects,2,5,6,focus,AI_USE,OBJECT,obj,more,more,,Content writing,2
