transcript_id,section,sent_id,dep_word_id,head,deprel,dep_lemma,dep_text,dep_upos,verb_word_id,verb_lemma,verb_category,edge_role_detail,agency_role,group,long_cluster
creativity_0003,changed_aspects,4,5,2,xcomp,explore,explore,VERB,2,allow,CONTROL,XCOMP,OTHER,Content writing,2
creativity_0003,changed_aspects,4,7,5,obj,possibility,possibilities,NOUN,5,explore,IDEATION,OBJECT,PATIENT,Content writing,2
creativity_0003,concerns,4,9,8,obj,it,it,PRON,8,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,concerns,6,1,2,nsubj,i,I,PRON,2,plan,CONTROL,SUBJECT,AGENT,Content writing,2
creativity_0003,concerns,7,14,17,nsubj,i,I,PRON,17,create,AUTHORSHIP,SUBJECT,AGENT,Content writing,2
creativity_0003,concerns,7,20,17,obj,plan,plan,NOUN,17,create,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0003,concerns,7,29,28,obj,ai,AI,NOUN,28,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,future,1,5,4,obj,it,it,PRON,4,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0003,future,2,3,5,nsubj,i,I,PRON,5,love,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0003,future,2,25,26,nsubj,it,it,PRON,26,tell,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0003,future,2,27,26,iobj,i,me,PRON,26,tell,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0004,intro,1,4,3,obj,we,'s,PRON,3,let,CONTROL,OBJECT,PATIENT,Audiovisual,4
creativity_0004,intro,1,6,3,xcomp,start,started,VERB,3,let,CONTROL,XCOMP,OTHER,Audiovisual,4
creativity_0004,walkthrough,1,15,13,obj,task,tasks,NOUN,13,automate,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0004,walkthrough,3,9,8,obj,memo,memos,NOUN,8,draft,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,project_example,1,9,10,nsubj,we,we,PRON,10,use,AI_USE,SUBJECT,AGENT,Audiovisual,4
