lemma,upos,doc_count,total_count,mean_count,max_count,category,notes
color,VERB,4,4,1.0,1,,
commission,VERB,4,4,1.0,1,,
critique,VERB,4,4,1.0,1,,
cross,VERB,4,4,1.0,1,,
define,VERB,4,4,1.0,1,,
die,VERB,4,4,1.0,1,,
diminish,VERB,4,4,1.0,1,,
evoke,VERB,4,4,1.0,1,,
facilitate,VERB,4,4,1.0,1,,
formulate,VERB,4,4,1.0,1,,
function,VERB,4,4,1.0,1,,
highlight,VERB,4,4,1.0,1,,
hold,VERB,4,4,1.0,1,,
hurt,VERB,4,4,1.0,1,,
inputt,VERB,4,4,1.0,1,,
interact,VERB,4,4,1.0,1,,
isolate,VERB,4,4,1.0,1,,
jump,VERB,4,4,1.0,1,,
launch,VERB,4,4,1.0,1,,
leverage,VERB,4,4,1.0,1,,
mess,VERB,4,4,1.0,1,,
neglect,VERB,4,4,1.0,1,,
past,VERB,4,4,1.0,1,,
piece,VERB,4,4,1.0,1,,
polished,VERB,4,4,1.0,1,,
practice,VERB,4,4,1.0,1,,
range,VERB,4,4,1.0,1,,
re-write,VERB,4,4,1.0,1,,
react,VERB,4,4,1.0,1,,
realise,VERB,4,4,1.0,1,,
relate,VERB,4,4,1.0,1,,
release,VERB,4,4,1.0,1,,
repeat,VERB,4,4,1.0,1,,
round,VERB,4,4,1.0,1,,
sketch,VERB,4,4,1.0,1,,
spot,VERB,4,4,1.0,1,,
stare,VERB,4,4,1.0,1,,
stick,VERB,4,4,1.0,1,,
structure,VERB,4,4,1.0,1,,
surprise,VERB,4,4,1.0,1,,
tackle,VERB,4,4,1.0,1,,
target,VERB,4,4,1.0,1,,
test,VERB,4,4,1.0,1,,
treat,VERB,4,4,1.0,1,,
type,VERB,4,4,1.0,1,,
view,VERB,4,4,1.0,1,,
weigh,VERB,4,4,1.0,1,,
churn,VERB,3,5,1.6666666666666667,3,,
load,VERB,3,5,1.6666666666666667,3,,
consult,VERB,3,4,1.3333333333333333,2,,
convey,VERB,3,4,1.3333333333333333,2,,
earn,VERB,3,4,1.3333333333333333,2,,
lift,VERB,3,4,1.3333333333333333,2,,
lower,VERB,3,4,1.3333333333333333,2,,
split,VERB,3,4,1.3333333333333333,2,,
transcribe,VERB,3,4,1.3333333333333333,2,,
utilise,VERB,3,4,1.3333333333333333,2,,
wonder,VERB,3,4,1.3333333333333333,2,,
AI,VERB,3,3,1.0,1,,
accord,VERB,3,3,1.0,1,,
afford,VERB,3,3,1.0,1,,
aim,VERB,3,3,1.0,1,,
analyze,VERB,3,3,1.0,1,,
anticipate,VERB,3,3,1.0,1,,
arrange,VERB,3,3,1.0,1,,
assemble,VERB,3,3,1.0,1,,
attach,VERB,3,3,1.0,1,,
attend,VERB,3,3,1.0,1,,
augment,VERB,3,3,1.0,1,,
beat,VERB,3,3,1.0,1,,
bogg,VERB,3,3,1.0,1,,
boost,VERB,3,3,1.0,1,,
branch,VERB,3,3,1.0,1,,
cite,VERB,3,3,1.0,1,,
claim,VERB,3,3,1.0,1,,
collaborate,VERB,3,3,1.0,1,,
commit,VERB,3,3,1.0,1,,
consist,VERB,3,3,1.0,1,,
contribute,VERB,3,3,1.0,1,,
control,VERB,3,3,1.0,1,,
cost,VERB,3,3,1.0,1,,
defeat,VERB,3,3,1.0,1,,
delve,VERB,3,3,1.0,1,,
demand,VERB,3,3,1.0,1,,
digg,VERB,3,3,1.0,1,,
drag,VERB,3,3,1.0,1,,
effect,VERB,3,3,1.0,1,,
exercise,VERB,3,3,1.0,1,,
experience,VERB,3,3,1.0,1,,
expose,VERB,3,3,1.0,1,,
fact,VERB,3,3,1.0,1,,
film,VERB,3,3,1.0,1,,
finalize,VERB,3,3,1.0,1,,
form,VERB,3,3,1.0,1,,
format,VERB,3,3,1.0,1,,
googl,VERB,3,3,1.0,1,,
hide,VERB,3,3,1.0,1,,
ideate,VERB,3,3,1.0,1,,
ignore,VERB,3,3,1.0,1,,
illustrate,VERB,3,3,1.0,1,,
introduce,VERB,3,3,1.0,1,,
invest,VERB,3,3,1.0,1,,
jumpstart,VERB,3,3,1.0,1,,
link,VERB,3,3,1.0,1,,
listen,VERB,3,3,1.0,1,,
manipulate,VERB,3,3,1.0,1,,
maximize,VERB,3,3,1.0,1,,
mimic,VERB,3,3,1.0,1,,
narrow,VERB,3,3,1.0,1,,
originate,VERB,3,3,1.0,1,,
output,VERB,3,3,1.0,1,,
overlook,VERB,3,3,1.0,1,,
pare,VERB,3,3,1.0,1,,
parse,VERB,3,3,1.0,1,,
pause,VERB,3,3,1.0,1,,
perform,VERB,3,3,1.0,1,,
pour,VERB,3,3,1.0,1,,
power,VERB,3,3,1.0,1,,
press,VERB,3,3,1.0,1,,
prevent,VERB,3,3,1.0,1,,
pursue,VERB,3,3,1.0,1,,
reiterate,VERB,3,3,1.0,1,,
reject,VERB,3,3,1.0,1,,
rendering,VERB,3,3,1.0,1,,
report,VERB,3,3,1.0,1,,
reproduce,VERB,3,3,1.0,1,,
resist,VERB,3,3,1.0,1,,
revisit,VERB,3,3,1.0,1,,
reword,VERB,3,3,1.0,1,,
rise,VERB,3,3,1.0,1,,
roleplay,VERB,3,3,1.0,1,,
screw,VERB,3,3,1.0,1,,
shape,VERB,3,3,1.0,1,,
smooth,VERB,3,3,1.0,1,,
specify,VERB,3,3,1.0,1,,
spit,VERB,3,3,1.0,1,,
steer,VERB,3,3,1.0,1,,
stress,VERB,3,3,1.0,1,,
stump,VERB,3,3,1.0,1,,
supplant,VERB,3,3,1.0,1,,
tap,VERB,3,3,1.0,1,,
task,VERB,3,3,1.0,1,,
themed,VERB,3,3,1.0,1,,
transfer,VERB,3,3,1.0,1,,
transition,VERB,3,3,1.0,1,,
trigger,VERB,3,3,1.0,1,,
update,VERB,3,3,1.0,1,,
visit,VERB,3,3,1.0,1,,
waste,VERB,3,3,1.0,1,,
weave,VERB,3,3,1.0,1,,
code,VERB,2,3,1.5,2,,
convince,VERB,2,3,1.5,2,,
export,VERB,2,3,1.5,2,,
frustrate,VERB,2,3,1.5,2,,
light,VERB,2,3,1.5,2,,
map,VERB,2,3,1.5,2,,
process,VERB,2,3,1.5,2,,
procreate,VERB,2,3,1.5,2,,
protect,VERB,2,3,1.5,2,,
quit,VERB,2,3,1.5,2,,
reread,VERB,2,3,1.5,2,,
slip,VERB,2,3,1.5,2,,
untangle,VERB,2,3,1.5,2,,
wind,VERB,2,3,1.5,2,,
Lower,VERB,2,2,1.0,1,,
abandon,VERB,2,2,1.0,1,,
abuse,VERB,2,2,1.0,1,,
adhere,VERB,2,2,1.0,1,,
aid,VERB,2,2,1.0,1,,
allude,VERB,2,2,1.0,1,,
analyse,VERB,2,2,1.0,1,,
articulate,VERB,2,2,1.0,1,,
assess,VERB,2,2,1.0,1,,
attract,VERB,2,2,1.0,1,,
back,VERB,2,2,1.0,1,,
blow,VERB,2,2,1.0,1,,
blur,VERB,2,2,1.0,1,,
boot,VERB,2,2,1.0,1,,
browse,VERB,2,2,1.0,1,,
burn,VERB,2,2,1.0,1,,
cast,VERB,2,2,1.0,1,,
categorize,VERB,2,2,1.0,1,,
charge,VERB,2,2,1.0,1,,
chase,VERB,2,2,1.0,1,,
collect,VERB,2,2,1.0,1,,
comb,VERB,2,2,1.0,1,,
compete,VERB,2,2,1.0,1,,
composite,VERB,2,2,1.0,1,,
concept,VERB,2,2,1.0,1,,
conceptualise,VERB,2,2,1.0,1,,
