transcript_id,role,section,lemma,upos,count
creativity_0000,user,project_example,this,PRON,1
creativity_0000,user,project_example,to,PART,3
creativity_0000,user,project_example,unique,ADJ,1
creativity_0000,user,project_example,use,VERB,1
creativity_0000,user,project_example,what,PRON,1
creativity_0000,user,project_example,write,VERB,1
creativity_0000,user,walkthrough,",",PUNCT,5
creativity_0000,user,walkthrough,.,PUNCT,4
creativity_0000,user,walkthrough,/,SYM,1
creativity_0000,user,walkthrough,:EQ,NOUN,1
creativity_0000,user,walkthrough,AI,NOUN,1
creativity_0000,user,walkthrough,I,PRON,3
creativity_0000,user,walkthrough,Sonible,PROPN,1
creativity_0000,user,walkthrough,a,DET,2
creativity_0000,user,walkthrough,about,ADP,1
creativity_0000,user,walkthrough,admin,NOUN,1
creativity_0000,user,walkthrough,also,ADV,2
creativity_0000,user,walkthrough,and,CCONJ,5
creativity_0000,user,walkthrough,anyway,INTJ,1
creativity_0000,user,walkthrough,ask,VERB,1
creativity_0000,user,walkthrough,be,AUX,3
creativity_0000,user,walkthrough,block,NOUN,1
creativity_0000,user,walkthrough,bounce,VERB,1
creativity_0000,user,walkthrough,brainstorming,NOUN,2
creativity_0000,user,walkthrough,business,NOUN,1
creativity_0000,user,walkthrough,clarify,VERB,1
creativity_0000,user,walkthrough,comm,NOUN,1
creativity_0000,user,walkthrough,copywriting,NOUN,1
creativity_0000,user,walkthrough,creative,ADJ,1
creativity_0000,user,walkthrough,email,NOUN,1
creativity_0000,user,walkthrough,for,ADP,1
creativity_0000,user,walkthrough,general,ADJ,1
creativity_0000,user,walkthrough,iZotope,PROPN,1
creativity_0000,user,walkthrough,idea,NOUN,1
creativity_0000,user,walkthrough,ideation,NOUN,1
creativity_0000,user,walkthrough,it,PRON,1
creativity_0000,user,walkthrough,just,ADV,1
creativity_0000,user,walkthrough,learning,NOUN,1
creativity_0000,user,walkthrough,like,ADP,1
creativity_0000,user,walkthrough,machine,NOUN,1
creativity_0000,user,walkthrough,mention,VERB,1
creativity_0000,user,walkthrough,mix,VERB,1
creativity_0000,user,walkthrough,my,PRON,2
creativity_0000,user,walkthrough,of,SCONJ,1
creativity_0000,user,walkthrough,off,ADP,1
creativity_0000,user,walkthrough,oh,INTJ,1
creativity_0000,user,walkthrough,ozone,PROPN,1
creativity_0000,user,walkthrough,peer,NOUN,1
creativity_0000,user,walkthrough,planning,NOUN,1
creativity_0000,user,walkthrough,plugin,NOUN,1
creativity_0000,user,walkthrough,process,NOUN,1
creativity_0000,user,walkthrough,question,NOUN,1
