group,category,pos_group,lemma,token_count,cc_total,c_total,lemma_in_cluster,p_lemma_given_cluster_cat,p_lemma_given_cluster,distinctiveness_cluster
Audiovisual,AUTHORSHIP,NOUN,content,11,468,1315,11,0.021575984990619138,0.008333333333333333,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,copy,4,468,1315,4,0.008442776735459663,0.003260869565217391,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,creation,5,468,1315,5,0.010318949343339587,0.003985507246376811,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,film,23,468,1315,23,0.04409005628517824,0.017028985507246377,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,generation,4,468,1315,4,0.008442776735459663,0.003260869565217391,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,image,19,468,1315,19,0.036585365853658534,0.014130434782608696,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,line,7,468,1315,7,0.014071294559099437,0.005434782608695652,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,list,6,468,1315,6,0.012195121951219513,0.004710144927536232,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,material,1,468,1315,1,0.0028142589118198874,0.0010869565217391304,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,music,55,468,1315,55,0.10412757973733583,0.04021739130434782,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,novel,1,468,1315,1,0.0028142589118198874,0.0010869565217391304,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,output,4,468,1315,4,0.008442776735459663,0.003260869565217391,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,page,2,468,1315,2,0.004690431519699813,0.0018115942028985507,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,photo,2,468,1315,2,0.004690431519699813,0.0018115942028985507,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,picture,3,468,1315,3,0.006566604127579738,0.002536231884057971,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,post,5,468,1315,5,0.010318949343339587,0.003985507246376811,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,scene,8,468,1315,8,0.01594746716697936,0.006159420289855073,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,script,14,468,1315,14,0.027204502814258912,0.010507246376811594,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,song,26,468,1315,26,0.04971857410881801,0.01920289855072464,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,story,3,468,1315,3,0.006566604127579738,0.002536231884057971,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,style,9,468,1315,9,0.017823639774859287,0.006884057971014493,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,text,3,468,1315,3,0.006566604127579738,0.002536231884057971,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,video,25,468,1315,25,0.04784240150093809,0.01847826086956522,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,website,2,468,1315,2,0.004690431519699813,0.0018115942028985507,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,word,6,468,1315,6,0.012195121951219513,0.004710144927536232,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,writer,4,468,1315,4,0.008442776735459663,0.003260869565217391,0.9513173539854058
Audiovisual,AUTHORSHIP,NOUN,piece,12,468,1315,12,0.02345215759849906,0.009057971014492754,0.9513173539854054
Audiovisual,AUTHORSHIP,NOUN,production,17,468,1315,17,0.03283302063789869,0.012681159420289856,0.9513173539854054
Audiovisual,AUTHORSHIP,NOUN,writing,12,468,1315,12,0.02345215759849906,0.009057971014492754,0.9513173539854054
Audiovisual,AUTHORSHIP,VERB,build,3,468,1315,3,0.006566604127579738,0.002536231884057971,0.9513173539854058
Audiovisual,AUTHORSHIP,VERB,craft,2,468,1315,2,0.004690431519699813,0.0018115942028985507,0.9513173539854058
Audiovisual,AUTHORSHIP,VERB,create,31,468,1315,31,0.05909943714821764,0.02282608695652174,0.9513173539854058
Audiovisual,AUTHORSHIP,VERB,design,14,468,1315,14,0.027204502814258912,0.010507246376811594,0.9513173539854058
Audiovisual,AUTHORSHIP,VERB,draft,8,468,1315,8,0.01594746716697936,0.006159420289855073,0.9513173539854058
Audiovisual,AUTHORSHIP,VERB,draw,4,468,1315,4,0.008442776735459663,0.003260869565217391,0.9513173539854058
Audiovisual,AUTHORSHIP,VERB,generate,33,468,1315,33,0.06285178236397748,0.02427536231884058,0.9513173539854058
Audiovisual,AUTHORSHIP,VERB,paint,1,468,1315,1,0.0028142589118198874,0.0010869565217391304,0.9513173539854058
Audiovisual,AUTHORSHIP,VERB,produce,11,468,1315,11,0.021575984990619138,0.008333333333333333,0.9513173539854058
Audiovisual,AUTHORSHIP,VERB,record,8,468,1315,8,0.01594746716697936,0.006159420289855073,0.9513173539854058
Audiovisual,AUTHORSHIP,VERB,suggest,4,468,1315,4,0.008442776735459663,0.003260869565217391,0.9513173539854058
Audiovisual,AUTHORSHIP,VERB,write,32,468,1315,32,0.06097560975609756,0.02355072463768116,0.9513173539854058
Audiovisual,CONTROL,NOUN,editing,4,98,1315,4,0.027607361963190184,0.003260869565217391,2.136088577344488
Audiovisual,CONTROL,NOUN,track,7,98,1315,7,0.046012269938650305,0.005434782608695652,2.136088577344488
Audiovisual,CONTROL,NOUN,control,3,98,1315,3,0.02147239263803681,0.002536231884057971,2.1360885773444878
Audiovisual,CONTROL,NOUN,decision,11,98,1315,11,0.0705521472392638,0.008333333333333333,2.1360885773444878
Audiovisual,CONTROL,NOUN,direction,5,98,1315,5,0.03374233128834356,0.003985507246376811,2.1360885773444878
Audiovisual,CONTROL,NOUN,feedback,3,98,1315,3,0.02147239263803681,0.002536231884057971,2.1360885773444878
Audiovisual,CONTROL,VERB,choose,1,98,1315,1,0.009202453987730062,0.0010869565217391304,2.1360885773444886
Audiovisual,CONTROL,VERB,direct,1,98,1315,1,0.009202453987730062,0.0010869565217391304,2.1360885773444886
Audiovisual,CONTROL,VERB,guide,1,98,1315,1,0.009202453987730062,0.0010869565217391304,2.1360885773444886
Audiovisual,CONTROL,VERB,allow,7,98,1315,7,0.046012269938650305,0.005434782608695652,2.136088577344488
Audiovisual,CONTROL,VERB,drive,4,98,1315,4,0.027607361963190184,0.003260869565217391,2.136088577344488
Audiovisual,CONTROL,VERB,keep,9,98,1315,9,0.05828220858895705,0.006884057971014493,2.136088577344488
Audiovisual,CONTROL,VERB,let,10,98,1315,10,0.06441717791411043,0.007608695652173913,2.136088577344488
Audiovisual,CONTROL,VERB,lose,6,98,1315,6,0.03987730061349693,0.004710144927536232,2.136088577344488
Audiovisual,CONTROL,VERB,worry,7,98,1315,7,0.046012269938650305,0.005434782608695652,2.136088577344488
Audiovisual,CONTROL,VERB,edit,8,98,1315,8,0.05214723926380368,0.006159420289855073,2.1360885773444878
Audiovisual,CONTROL,VERB,lead,3,98,1315,3,0.02147239263803681,0.002536231884057971,2.1360885773444878
Audiovisual,CONTROL,VERB,manage,3,98,1315,3,0.02147239263803681,0.002536231884057971,2.1360885773444878
Audiovisual,CONTROL,VERB,plan,5,98,1315,5,0.03374233128834356,0.003985507246376811,2.1360885773444878
Audiovisual,IDEATION,NOUN,creativity,7,179,1315,7,0.030737704918032786,0.005434782608695652,1.7326705528580488
Audiovisual,IDEATION,NOUN,planning,6,179,1315,6,0.02663934426229508,0.004710144927536232,1.7326705528580488
Audiovisual,IDEATION,NOUN,idea,52,179,1315,52,0.2151639344262295,0.03804347826086957,1.7326705528580486
Audiovisual,IDEATION,NOUN,brainstorming,9,179,1315,9,0.0389344262295082,0.006884057971014493,1.7326705528580484
Audiovisual,IDEATION,NOUN,inspiration,4,179,1315,4,0.018442622950819672,0.003260869565217391,1.7326705528580484
Audiovisual,IDEATION,NOUN,stage,5,179,1315,5,0.022540983606557378,0.003985507246376811,1.7326705528580484
Audiovisual,IDEATION,NOUN,suggestion,5,179,1315,5,0.022540983606557378,0.003985507246376811,1.7326705528580484
Audiovisual,IDEATION,NOUN,thinking,4,179,1315,4,0.018442622950819672,0.003260869565217391,1.7326705528580484
Audiovisual,IDEATION,NOUN,concept,2,179,1315,2,0.010245901639344262,0.0018115942028985507,1.732670552858048
