group,category,pos_group,lemma,token_count,cc_total,c_total,lemma_in_cluster,p_lemma_given_cluster_cat,p_lemma_given_cluster,distinctiveness_cluster
"Art, design, crafts",IDEATION,NOUN,board,6,1952,10130,6,0.003035964502568893,0.0006299059986432793,1.5727138465260317
"Art, design, crafts",IDEATION,NOUN,concept,29,1952,10130,29,0.013778608127043438,0.0028588041476887297,1.5727138465260317
"Art, design, crafts",IDEATION,NOUN,creativity,22,1952,10130,22,0.010509107893507707,0.0021804438414575055,1.5727138465260317
"Art, design, crafts",IDEATION,NOUN,editing,28,1952,10130,28,0.013311536665109761,0.0027618955325128406,1.5727138465260317
"Art, design, crafts",IDEATION,NOUN,etc.,28,1952,10130,28,0.013311536665109761,0.0027618955325128406,1.5727138465260317
"Art, design, crafts",IDEATION,NOUN,feature,10,1952,10130,10,0.004904250350303597,0.001017540459346836,1.5727138465260317
"Art, design, crafts",IDEATION,NOUN,idea,165,1952,10130,165,0.07730032695002335,0.01603837581160965,1.5727138465260317
"Art, design, crafts",IDEATION,NOUN,inspiration,24,1952,10130,24,0.011443250817375059,0.0023742610718092837,1.5727138465260317
"Art, design, crafts",IDEATION,VERB,hone,1,1952,10130,1,0.0007006071929005138,0.0001453629227638337,1.5727138465260326
"Art, design, crafts",IDEATION,VERB,like,168,1952,10130,168,0.07870154133582438,0.01632910165713732,1.5727138465260322
"Art, design, crafts",IDEATION,VERB,base,27,1952,10130,27,0.012844465203176086,0.0026649869173369515,1.5727138465260317
"Art, design, crafts",IDEATION,VERB,bounce,3,1952,10130,3,0.0016347501167678655,0.000339180153115612,1.5727138465260317
"Art, design, crafts",IDEATION,VERB,brainstorm,18,1952,10130,18,0.008640822045773003,0.001792809380753949,1.5727138465260317
"Art, design, crafts",IDEATION,VERB,come,63,1952,10130,63,0.029659037832788417,0.00615369706366896,1.5727138465260317
"Art, design, crafts",IDEATION,VERB,complete,19,1952,10130,19,0.00910789350770668,0.0018897179959298381,1.5727138465260317
"Art, design, crafts",IDEATION,VERB,consider,8,1952,10130,8,0.0039701074264362445,0.0008237232289950577,1.5727138465260317
"Art, design, crafts",IDEATION,VERB,copy,11,1952,10130,11,0.005371321812237272,0.001114449074522725,1.5727138465260317
"Art, design, crafts",IDEATION,VERB,develop,11,1952,10130,11,0.005371321812237272,0.001114449074522725,1.5727138465260317
"Art, design, crafts",IDEATION,VERB,discuss,7,1952,10130,7,0.003503035964502569,0.0007268146138191686,1.5727138465260317
"Art, design, crafts",IDEATION,VERB,engage,8,1952,10130,8,0.0039701074264362445,0.0008237232289950577,1.5727138465260317
Audiovisual,AI_USE,NOUN,admin,6,1543,3810,6,0.0037528868360277136,0.001625406351587897,0.8367675197244386
Audiovisual,AI_USE,NOUN,character,6,1543,3810,6,0.0037528868360277136,0.001625406351587897,0.8367675197244386
Audiovisual,AI_USE,NOUN,company,6,1543,3810,6,0.0037528868360277136,0.001625406351587897,0.8367675197244386
Audiovisual,AI_USE,NOUN,designer,7,1543,3810,7,0.0043302540415704385,0.0018754688672168042,0.8367675197244386
Audiovisual,AI_USE,NOUN,form,6,1543,3810,6,0.0037528868360277136,0.001625406351587897,0.8367675197244386
Audiovisual,AI_USE,NOUN,information,10,1543,3810,10,0.006062355658198615,0.002625656414103526,0.8367675197244386
Audiovisual,AI_USE,NOUN,llm,10,1543,3810,10,0.006062355658198615,0.002625656414103526,0.8367675197244386
Audiovisual,AI_USE,NOUN,stuff,7,1543,3810,7,0.0043302540415704385,0.0018754688672168042,0.8367675197244386
Audiovisual,AI_USE,NOUN,track,7,1543,3810,7,0.0043302540415704385,0.0018754688672168042,0.8367675197244386
Audiovisual,AI_USE,NOUN,creative,52,1543,3810,52,0.03031177829099307,0.01312828207051763,0.8367675197244382
Audiovisual,AI_USE,NOUN,time,44,1543,3810,44,0.02569284064665127,0.011127781945486371,0.8367675197244382
Audiovisual,AI_USE,NOUN,ai,148,1543,3810,148,0.08573903002309469,0.037134283570892726,0.8367675197244377
Audiovisual,AI_USE,VERB,begin,7,1543,3810,7,0.0043302540415704385,0.0018754688672168042,0.8367675197244386
Audiovisual,AI_USE,VERB,cover,10,1543,3810,10,0.006062355658198615,0.002625656414103526,0.8367675197244386
Audiovisual,AI_USE,VERB,depend,6,1543,3810,6,0.0037528868360277136,0.001625406351587897,0.8367675197244386
Audiovisual,AI_USE,VERB,hit,6,1543,3810,6,0.0037528868360277136,0.001625406351587897,0.8367675197244386
Audiovisual,AI_USE,VERB,mean,6,1543,3810,6,0.0037528868360277136,0.001625406351587897,0.8367675197244386
