transcript_id,section,sent_id,dep_word_id,head,deprel,dep_lemma,dep_text,verb_word_id,verb_lemma,verb_category,edge_role,group,long_cluster
creativity_0002,project_example,4,27,26,obj,thing,things,26,research,IDEATION,OBJECT,Content writing,2
creativity_0002,dynamic,1,15,12,obj,content,content,12,write,AUTHORSHIP,OBJECT,Content writing,2
creativity_0002,dynamic,3,23,25,nsubj,i,I,25,drive,CONTROL,SUBJECT,Content writing,2
creativity_0002,dynamic,3,28,25,obj,decision,decisions,25,drive,CONTROL,OBJECT,Content writing,2
creativity_0002,changed_aspects,1,7,9,nsubj,i,I,9,save,AI_USE,SUBJECT,Content writing,2
creativity_0002,changed_aspects,2,10,8,obj,word,words,8,produce,AUTHORSHIP,OBJECT,Content writing,2
creativity_0002,concerns,2,21,22,nsubj,seo,SEO,22,look,AI_USE,SUBJECT,Content writing,2
creativity_0002,future,1,19,17,obj,time,time,17,save,AI_USE,OBJECT,Content writing,2
creativity_0003,basic_job_description,5,3,4,nsubj,i,I,4,create,AUTHORSHIP,SUBJECT,Content writing,2
creativity_0003,basic_job_description,5,7,4,obj,combination,combination,4,create,AUTHORSHIP,OBJECT,Content writing,2
creativity_0003,basic_job_description,6,4,5,nsubj,i,I,5,create,AUTHORSHIP,SUBJECT,Content writing,2
creativity_0003,basic_job_description,6,8,5,obj,piece,piece,5,create,AUTHORSHIP,OBJECT,Content writing,2
creativity_0003,basic_job_description,7,1,3,nsubj,i,I,3,develop,IDEATION,SUBJECT,Content writing,2
creativity_0003,basic_job_description,7,7,3,obj,style,style,3,develop,IDEATION,OBJECT,Content writing,2
creativity_0003,walkthrough,1,1,2,nsubj,i,I,2,use,AI_USE,SUBJECT,Content writing,2
creativity_0003,walkthrough,1,4,2,obj,tool,tools,2,use,AI_USE,OBJECT,Content writing,2
creativity_0003,walkthrough,1,9,8,obj,i,me,8,help,AI_USE,OBJECT,Content writing,2
creativity_0003,walkthrough,1,14,10,obj,structure,structure,10,build,AUTHORSHIP,OBJECT,Content writing,2
