group,category,pos_group_cb,lemma,token_count
"Art, design, crafts",AUTHORSHIP,VERB,remove,11
"Art, design, crafts",AUTHORSHIP,VERB,upload,11
"Art, design, crafts",AUTHORSHIP,VERB,receive,10
"Art, design, crafts",AUTHORSHIP,VERB,move,9
"Art, design, crafts",AUTHORSHIP,VERB,train,9
"Art, design, crafts",AUTHORSHIP,VERB,craft,8
"Art, design, crafts",AUTHORSHIP,VERB,draft,8
"Art, design, crafts",AUTHORSHIP,VERB,flow,8
"Art, design, crafts",AUTHORSHIP,VERB,lose,8
"Art, design, crafts",AUTHORSHIP,VERB,assist,7
"Art, design, crafts",AUTHORSHIP,VERB,clean,7
"Art, design, crafts",AUTHORSHIP,VERB,integrate,7
"Art, design, crafts",AUTHORSHIP,VERB,mention,7
"Art, design, crafts",AUTHORSHIP,VERB,read,7
"Art, design, crafts",AUTHORSHIP,VERB,enjoy,6
"Art, design, crafts",AUTHORSHIP,VERB,incorporate,6
"Art, design, crafts",AUTHORSHIP,VERB,suggest,6
"Art, design, crafts",AUTHORSHIP,VERB,break,5
"Art, design, crafts",AUTHORSHIP,VERB,bring,5
"Art, design, crafts",AUTHORSHIP,VERB,combine,5
"Art, design, crafts",AUTHORSHIP,VERB,feed,5
"Art, design, crafts",AUTHORSHIP,VERB,miss,5
"Art, design, crafts",AUTHORSHIP,VERB,send,4
"Art, design, crafts",AUTHORSHIP,VERB,consume,3
"Art, design, crafts",AUTHORSHIP,VERB,identify,3
"Art, design, crafts",AUTHORSHIP,VERB,lean,3
"Art, design, crafts",AUTHORSHIP,VERB,organize,2
"Art, design, crafts",AUTHORSHIP,VERB,mix,1
"Art, design, crafts",AUTHORSHIP,VERB,publish,1
"Art, design, crafts",CONTROL,NOUN,question,35
"Art, design, crafts",CONTROL,NOUN,media,34
"Art, design, crafts",CONTROL,NOUN,decision,19
"Art, design, crafts",CONTROL,NOUN,direction,15
"Art, design, crafts",CONTROL,NOUN,control,13
"Art, design, crafts",CONTROL,NOUN,flow,8
"Art, design, crafts",CONTROL,NOUN,chat,6
"Art, design, crafts",CONTROL,NOUN,experience,5
"Art, design, crafts",CONTROL,VERB,make,121
"Art, design, crafts",CONTROL,VERB,allow,23
"Art, design, crafts",CONTROL,VERB,let,23
"Art, design, crafts",CONTROL,VERB,drive,18
"Art, design, crafts",CONTROL,VERB,lead,13
"Art, design, crafts",CONTROL,VERB,set,11
"Art, design, crafts",CONTROL,VERB,decide,10
"Art, design, crafts",CONTROL,VERB,choose,9
"Art, design, crafts",CONTROL,VERB,pick,7
"Art, design, crafts",CONTROL,VERB,direct,6
"Art, design, crafts",CONTROL,VERB,manage,4
"Art, design, crafts",CONTROL,VERB,determine,3
"Art, design, crafts",CONTROL,VERB,guide,3
"Art, design, crafts",IDEATION,NOUN,use,337
"Art, design, crafts",IDEATION,NOUN,idea,165
"Art, design, crafts",IDEATION,NOUN,sound,42
"Art, design, crafts",IDEATION,NOUN,concept,29
"Art, design, crafts",IDEATION,NOUN,editing,28
"Art, design, crafts",IDEATION,NOUN,etc.,28
"Art, design, crafts",IDEATION,NOUN,theme,25
"Art, design, crafts",IDEATION,NOUN,inspiration,24
"Art, design, crafts",IDEATION,NOUN,creativity,22
"Art, design, crafts",IDEATION,NOUN,style,17
"Art, design, crafts",IDEATION,NOUN,marketing,12
"Art, design, crafts",IDEATION,NOUN,option,11
"Art, design, crafts",IDEATION,NOUN,area,10
"Art, design, crafts",IDEATION,NOUN,feature,10
"Art, design, crafts",IDEATION,NOUN,course,9
"Art, design, crafts",IDEATION,NOUN,planning,9
"Art, design, crafts",IDEATION,NOUN,sort,9
"Art, design, crafts",IDEATION,NOUN,term,9
"Art, design, crafts",IDEATION,NOUN,blog,8
"Art, design, crafts",IDEATION,NOUN,board,6
"Art, design, crafts",IDEATION,NOUN,tone,6
"Art, design, crafts",IDEATION,NOUN,outline,5
"Art, design, crafts",IDEATION,NOUN,fact,4
"Art, design, crafts",IDEATION,NOUN,reader,1
"Art, design, crafts",IDEATION,NOUN,situation,1
"Art, design, crafts",IDEATION,VERB,have,444
"Art, design, crafts",IDEATION,VERB,like,168
"Art, design, crafts",IDEATION,VERB,think,109
"Art, design, crafts",IDEATION,VERB,get,90
"Art, design, crafts",IDEATION,VERB,give,77
"Art, design, crafts",IDEATION,VERB,look,69
"Art, design, crafts",IDEATION,VERB,find,64
"Art, design, crafts",IDEATION,VERB,come,63
"Art, design, crafts",IDEATION,VERB,start,41
"Art, design, crafts",IDEATION,VERB,try,36
"Art, design, crafts",IDEATION,VERB,base,27
"Art, design, crafts",IDEATION,VERB,keep,26
"Art, design, crafts",IDEATION,VERB,research,24
"Art, design, crafts",IDEATION,VERB,tell,23
"Art, design, crafts",IDEATION,VERB,complete,19
"Art, design, crafts",IDEATION,VERB,brainstorm,18
"Art, design, crafts",IDEATION,VERB,learn,14
"Art, design, crafts",IDEATION,VERB,turn,14
"Art, design, crafts",IDEATION,VERB,follow,13
"Art, design, crafts",IDEATION,VERB,refine,13
"Art, design, crafts",IDEATION,VERB,expand,12
"Art, design, crafts",IDEATION,VERB,present,12
"Art, design, crafts",IDEATION,VERB,copy,11
"Art, design, crafts",IDEATION,VERB,develop,11
"Art, design, crafts",IDEATION,VERB,search,10
"Art, design, crafts",IDEATION,VERB,consider,8
"Art, design, crafts",IDEATION,VERB,engage,8
"Art, design, crafts",IDEATION,VERB,talk,8
"Art, design, crafts",IDEATION,VERB,discuss,7
"Art, design, crafts",IDEATION,VERB,explore,7
"Art, design, crafts",IDEATION,VERB,figure,6
"Art, design, crafts",IDEATION,VERB,iterate,6
"Art, design, crafts",IDEATION,VERB,share,6
"Art, design, crafts",IDEATION,VERB,imagine,5
"Art, design, crafts",IDEATION,VERB,offer,5
"Art, design, crafts",IDEATION,VERB,outline,5
"Art, design, crafts",IDEATION,VERB,connect,4
"Art, design, crafts",IDEATION,VERB,pull,4
"Art, design, crafts",IDEATION,VERB,bounce,3
"Art, design, crafts",IDEATION,VERB,explain,3
"Art, design, crafts",IDEATION,VERB,prepare,3
"Art, design, crafts",IDEATION,VERB,stay,3
"Art, design, crafts",IDEATION,VERB,utilize,3
"Art, design, crafts",IDEATION,VERB,shift,2
